,id,name,description,genre,category,venue,address,date,time,url,artist,price
81,143,?????? ????? - ?????? 2023 ???? ?????? ???????,"The Spanish trumpeter and singer Andrea Mutis has been performing since a very young age with the master, who lost his eyesight, Ignatius Terrasa.
The two match like a glove. Their repertoire contains hundreds of pieces, the main part of which is Spanish ",,Music,,,,,https://1305.kartisim.co.il/announce/73931,,
82,144,?????? ????? - ?????? 2023 ???? ????? ??????? - ???? ???????????,"A special production for the festival, the Colombian singer, Maria Raquel, presents a program full of Colombian music, salsa, cumbia and other wonderful styles and rhythms together with the dream team that includes first class international musicians from",,Music,,,,,https://1305.kartisim.co.il/announce/73918,,
83,145,??????????? - ????,"The restaurant and doors will open at 19:00. It is recommended to arrive near the opening of the doors
A flamenco show that combines singing, playing and dancing, presenting flamenco in its authentic form, as it is performed today in Spain. The performanc",,Music,,,,,https://1305.kartisim.co.il/announce/74103,,
84,146,??? ???? ???? ?? ????? ???????,"Gil Shohat and the Polyphony Ensemble host Shimon Buskila
We have known the voice and work of the extraordinary artist Shimon Buskila for several decades in Israeli music. But this time we present his most popular songs in a unique classical dress. My tom",,Music,,,,,https://1305.kartisim.co.il/announce/74223,,
85,147,??? ???,"The doors and the restaurant will open at 19:00. It is recommended to arrive near the opening of the doors
Yael Levy is one of the singers most identified with the soundtrack of Israeli music. These days she appears all over Israel with her intimate show ",,Music,,,,,https://1305.kartisim.co.il/announce/73860,,
86,148,???? ?????? ???? ?? ???? ??? ??????? ????? ?????? Bravo,"In a musical journey and in a special composition and color, Eric Davidov hosts five virtuosos in their field on one stage. The warm sound of the trumpet will be joined by Israeli tenor singer Yotam Cohen and the virtuoso ensemble Master Quartet - on acco",,Music,,,,,https://1305.kartisim.co.il/announce/74064,,
87,149,?????? ????????? ?? ?????? ??????? ?????,"Ehud Menor the poet, songwriter, translator.
His songs were composed by the best composers of the Hebrew singer, from Sasa Argov to Mati Caspi, from Nurit Hirsch to Nachum Hayman.
An immortal mosaic of iron shepherds, from the Eurovisions to Benjamin and ",,Music,,,,,https://1305.kartisim.co.il/announce/74094,,
88,150,?????? ???? - ????? ???? ???,"The doors and the restaurant will open at 19:00. It is recommended to arrive near the opening of the doors

A series of 4 concerts February - May 2023
As part of 'Music and Knowledge in the Snail'
The Great Composers #3 - The Musicals
With Prof. Yehuda So",,Music,,,,,https://1305.kartisim.co.il/announce/74321,,
89,151,Noa's Mini-Big-Bang,"The doors and the restaurant will open at 19:00. It is recommended to arrive near the opening of the doors

Ahinoam Mini Big Bang!
Gil Dor - guitars
Ruslan Sirota - piano
Omri Abramov - EWI soprano saxophone
Daniel Dor - drums


A unique surprise show by ",,Music,,,,,https://1305.kartisim.co.il/announce/74322,,
90,152,???? ???????? - ???? ?? ???,"Almost every show by Omer Moskovitz is a one-off show. She probably gets bored easily.

But this time she already overdid it. She decided to combine her existing pop show with stand-up.

Anyone who has been to Omar Moskovitz's concerts knows that she is f",,Music,,,,,https://1305.kartisim.co.il/announce/74318,,
91,153,"????? ???? ?????, ?????","The doors and the restaurant will open at 19:00. It is recommended to arrive near the opening of the doors

We are happy to host an unusual show in Snail: Choralle Vie Nouvelle - Choir of New Life. The group of about ten singers and one keyboard player, m",,Music,,,,,https://1305.kartisim.co.il/announce/74260,,
92,154,?????? ???? - ????? ?? ???? - ?????? ??????? ?? ???? ????,"Because of the night', 'Songs of the country I loved', 'Everything because of love', 'Don't cry girl' - which will be performed in the show - are only a small part of the songs composed, written and translated by Dafna Eilat. Dafna wrote songs for the Yar",,Music,,,,,https://1305.kartisim.co.il/announce/74246,,
93,155,????? ?? ??? ???,"Gila Almagor-Agmon - Israel Prize bride, Roni Dalomi - one of the successful singers and actresses. They met as colleagues on stage in the musical 'Signi Derech' about the life of Naomi Shemer and age did not prevent them from developing a brave friendshi",,Music,,,,,https://1305.kartisim.co.il/announce/74253,,
94,156,?? ???? ???? - ?????? ?? ????? ?????,"Celebrating her birthday and remembering her beloved Ozari in a show that unites her band with the best hits of the great creator and singer from the Yemeni vineyard who reached the heart of the Israeli consensus, from her first album 'Hikhen Ha'il' to th",,Music,,,,,https://1305.kartisim.co.il/announce/74251,,
95,157,"??? ????? ??????? - ?????-??????, ????????? ??? ???????","Latino to Dino, Portuguese and everything in between

Stories, photos and the best songs of: Emmanuel Sarat, the Gypsy Kings and more. ? The show that begins with the urban landscapes of Spain, continues to the spaces and natural landscapes.

We will stop",,Music,,,,,https://1305.kartisim.co.il/announce/74095,,
96,158,????? ???? ?? ????? ?'?? - Elton,"Nati Cohen presents: Elton. A unique, classic and nostalgic show, from the songs of the singer-songwriter Sir Elton John accompanied by 5 musicians. Elton John, one of the most successful and influential singers and creators of our generation, has entered",,Music,,,,,https://1305.kartisim.co.il/announce/74215,,
97,159,???? ??????? ??????? - ?????? ???????,"A show that leaves viewers with a smile on their lips long after it's over.
A theatrical, rhythmic, joyful, exciting and nostalgic musical show, based on Menachem Ptolemy's book 'Yipoi Pictures', centered on funny, moving and colorful Yipi stories. Juicy ",,Music,,,,,https://1305.kartisim.co.il/announce/74131,,
98,160,??????? ?????? - ????? - ????? ???? - ??? ??????,"Miss Cherry comes to the Alley Theater and hosts:
Viaje de la Chamates
Rita Lynn
Queen Miss Glitter
Ravita Ravel Miss Yizrel

This is the new God coming to the area and she is one and only: Miss Cherry!
She will condemn you to heaven or hell.
So shudder w",,Music,,,,,https://1305.kartisim.co.il/announce/74104,,
99,161,???????,"Beatlemania - the fantastic foursome from Liverpool
A tribute show to the band that changed the world of music. A nostalgic and exciting meeting with all the greatest Beatles songs of all time.
Performed by the Magical Band
Before the show: a virtual tour",,Music,,,,,https://1305.kartisim.co.il/announce/74070,,
100,162,???? ??? ???,"The songs by the Hebrew singer that became folk dances to which thousands of Israelis dance every week. and the biggest hits from the children's festivals.

Direction and singing: Hani Nachmias
Featuring: Dodo Zakai and guest artists
Music management: Uri",,Music,,,,,https://1305.kartisim.co.il/announce/74068,,
101,163,??? ???? ???? - ??? ????? ?????,"Liraz Charchi, Esther the Israeli queen, a real Persian princess, combines the traditional with the modern, and between Persian folk music and Israeli song. Liraz specialized in performing ancient Persian songs such as Naz, Hala Bar, Nozi Nozi, which draw",,Music,,,,,https://1305.kartisim.co.il/announce/74063,,
102,164,?????? ???? ?????? ??????? - ???? ????,"A festival that yielded dozens of hits that became an asset of Iron Sheep in the Jewish music and the Israeli singer.
Guide: Dan Kinner
Featuring: Shimi Tabori and guest artists
Music management: Uri Karib
Photography: Shimi Tabori-Y. Israel, Dan Kner - D",,Music,,,,,https://1305.kartisim.co.il/announce/74062,,
103,165,The Golden Gate Quartet - ??????? ?????? ????,"Gospel celebration with the American legend
The Golden Gate Quartet, sometimes called the 'Golden Gate Quartet', is an African-American vocal quartet that was founded in 1934 and still exists today. The show in Tel Aviv marks the beginning of the celebrat",,Music,,,,,https://1305.kartisim.co.il/announce/74009,,
104,166,?????? ????? - ?????? 2023 ?????? ?????? ?????? ?????????,"The bolero is the song of passion and love that came from eastern Cuba and was sung by the troubadours, the folk singers,
who roamed the country, sang, played, courted and loved and the main thing in this style is romance.
Later the paths of the Cuban bol",,Music,,,,,https://1305.kartisim.co.il/announce/73930,,
105,167,?????? ????? - ?????? 2023 ????? ???????? - ????? ???? ??,"The girl from Ipanema - a tribute to Stan Getz with Dean Zur and the band
Beyond all the awards and superlatives received by the immortal record 'The Girl from Ipanema' recorded by Stan Getz (tenor saxophone) João Gilberto (guitar and vocals) with the gue",,Music,,,,,https://1305.kartisim.co.il/announce/73922,,
106,168,?????? ?????- ?????? 2023 ???? ??? ??????,"A special production for the festival, the Colombian singer Maria Raquel presents a program full of salsa hits from New York and other wonderful rhythms from the Big Apple.
Together with the dream team that includes the guest singer Italo Gonzalez and fir",,Music,,,,,https://1305.kartisim.co.il/announce/73933,,
